name,datetime,tempmax,tempmin,temp,humidity
Jaipur,01-01-2020,64.4,42.8,53.6,68.5
Jaipur,02-01-2020,68,49.5,58.6,63.8
Jaipur,03-01-2020,71.6,51.4,61.5,63.3
Jaipur,04-01-2020,68,49.7,59.5,76.8
Jaipur,05-01-2020,69.8,50,59.4,77.3
Jaipur,06-01-2020,71.6,50.1,61,68.5
Jaipur,07-01-2020,73,55.4,63.3,65.1
Jaipur,08-01-2020,62.4,52.1,58.4,77.9
Jaipur,09-01-2020,64.4,46.4,54.9,56.1
Jaipur,10-01-2020,66.2,42.8,54.3,56.9
Jaipur,11-01-2020,68.1,46,56.4,51.3
Jaipur,12-01-2020,71.6,46.4,59.5,52.6
Jaipur,13-01-2020,74.6,53.6,61.8,62.5
Jaipur,14-01-2020,68,51.8,59.4,66
Jaipur,15-01-2020,67.3,46.7,58.3,69.8
Jaipur,16-01-2020,64.4,54.5,59.3,65.2
Jaipur,17-01-2020,66.2,50,58.4,71
Jaipur,18-01-2020,68,50.6,58.2,76.1
Jaipur,19-01-2020,66.5,51.4,58,62.9
Jaipur,20-01-2020,66,46.4,56.2,57.5
Jaipur,21-01-2020,69.8,50,58.7,72.1
Jaipur,22-01-2020,71.7,51.8,61,64.4
Jaipur,23-01-2020,71.3,48.3,59.6,49.3
Jaipur,24-01-2020,71.6,48.2,60.1,35.9
Jaipur,25-01-2020,73.4,48.2,61.4,37.9
Jaipur,26-01-2020,77,46.5,63.4,45.8
Jaipur,27-01-2020,77,54.2,65.5,55.4
Jaipur,28-01-2020,73.4,57.2,64.6,59.8
Jaipur,29-01-2020,69.8,53.6,61.8,44
Jaipur,30-01-2020,69.8,50,60.8,46.3
Jaipur,31-01-2020,69.9,48.2,59,52.7
Jaipur,01-02-2020,71.6,48.2,59.6,50.6
Jaipur,02-02-2020,69.9,50,60.8,52
Jaipur,03-02-2020,69.8,46.3,59.4,50.9
Jaipur,04-02-2020,71.6,51.1,60.5,53.8
Jaipur,05-02-2020,71.9,53.6,63.1,49.7
Jaipur,06-02-2020,71.6,48.6,61.1,52.6
Jaipur,07-02-2020,71.6,51.8,61.7,51.6
Jaipur,08-02-2020,73.4,50,61.7,41.7
Jaipur,09-02-2020,71.6,50,60.4,46.9
Jaipur,10-02-2020,71.6,49.8,61.2,45.1
Jaipur,11-02-2020,77,53.4,63.5,45.8
Jaipur,12-02-2020,80.6,54.7,66.7,41.6
Jaipur,13-02-2020,84.2,55.4,69.9,38
Jaipur,14-02-2020,80.6,58.6,70,32.7
Jaipur,15-02-2020,82.4,57.2,70.2,25.4
